job_title,company_name,city,country,posted_date,employment_type,education,job_description,skills,job_url
Flutter Mobile Developer,InnovationTeam,Riyadh,Saudi Arabia,2026-09-14,Full-time,,"InnovationTeam is a forward-thinking technology company that specializes in providing innovative solutions to businesses. We are currently seeking a talented Flutter Mobile Developer to join our team onsite. As a Flutter Mobile Developer at InnovationTeam, you will be responsible for developing, testing, and maintaining mobile applications using Flutter. You will work on new features, improve existing functionality, and help ensure the stability and performance of our apps. You will collaborate with cross-functional teams to understand project requirements, design user interfaces, and implement app features. Additionally, you will work closely with product managers, Back-end developer, QA engineers and UX designers to deliver high-quality, reliable, scalable, and user-friendly mobile applications. This position requires a strong understanding of mobile development technologies and frameworks, as well as excellent problem-solving, debugging skills, and the ability to","agile, android, api, back end, ci cd, flutter, git, ios, mobile development, qa, rest, ux",https://apply.workable.com/j/7FDFD79889?utm_source=freehire.me
Director - Security Command & Integration,Qiddiya Investment Company,Riyadh,Saudi Arabia,2026-09-14,Contract,,"The Director, Security Command & Integration provides strategic and operational leadership for the integration of security command, control, communications, intelligence, technology, incident coordination and commercial delivery across QIC Security Operations. The role is accountable for ensuring the District Security Operations Centre (DSOC) operates as the central hub for situational awareness, operational coordination, information management and escalation, and that security contracts and commercial arrangements provide compliant, effective and value-driven services aligned with operational demand. The role holder connects people, processes, technology, data and contracted services into a single operating model that supports daily security operations, major events, emergencies, elevated security postures and the transition from development to steady-state city operations. Security Strategy and Transformation Own the development",security operations,https://apply.workable.com/j/CF6D8A6896?utm_source=freehire.me
Human Capital Information System Analyst,Saudi Cement Company,Dammam,Saudi Arabia,2026-09-14,Full-time,,"A regional pioneer in the manufacture and supply of high quality clinker and cement, Saudi Cement forms a vital link in the industry’s supply chain, having supported many construction projects in the Middle East for more than half a century. Strategically located in the Eastern Province of the Kingdom of Saudi Arabia, an area rich in high-grade raw materials, Saudi Cement is the leader in the Saudi cement industry in terms of efficiency, quality and profitability. Since its establishment in 1955, this joint stock company has been enjoying consistent capacity expansions and profitability. In 2008, Saudi Cement achieved one of the most important milestones in its history with the installation of two new production lines with a combined capacity of 24,000 tons of clinker per day. This expansion, widely considered to be the world’s largest at that time, increased Saudi Cement’s available capacity to an average of 8 million tons of clinker per year, elevating the Saudi",,https://fusion-iaeikf.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/SaudiCementCareerSite/job/51?utm_source=freehire.me
Kids Club Animator,AccorHotel,,Saudi Arabia,2026-09-13,Full-time,,"At SLS The Red Sea, our youngest guests deserve experiences just as memorable as everyone else. As a Kids Club Animator , you will bring energy, creativity, and fun to every activity while creating a safe and welcoming environment where children can play, explore, and make unforgettable holiday memories. Working closely with the Kids Club team, you will lead engaging activities, connect naturally with children and families, and bring the playful spirit of SLS to every game, craft, story, and special moment. Key Responsibilities Support the daily operation of the Kids Club and ensure children are engaged, entertained, and supervised at all times. Welcome children and their families warmly and introduce them to Kids Club activities and programs. Lead and participate in activities such as arts & crafts, games, storytelling, music, movement, and creative play. Create fun and engaging experiences suited",,https://jobs.smartrecruiters.com/AccorHotel/744000149202419-kids-club-animator-?utm_source=freehire.me
Senior eCommerce UI/UX Designer - Phillipines,won.ai,,Saudi Arabia,2026-09-13,Full-time,,"About WON WON is building the next generation of AI transformation for enterprise organizations. We are not another AI tools vendor. We build AI-native systems, combined with deep human judgment and category expertise, that fundamentally change how our clients operate, make decisions, and serve their customers. Within that, our design practice works with premium DTC and ecommerce brands doing $50M to $500M+ in revenue: brands with strong products and strong followings that are still leaving growth on the table. We are not a “make it pretty” agency, and we are not another CRO shop running button tests. We combine deep behavioral insight with quantitative truth, then ship exceptional work fast, and we are building the AI-native systems that let us do it at a pace and scale traditional design teams cannot match. AI powers our systems. Taste powers our design. The two compound each other: automation gives you the speed, and your judgment decides what","ai, ai enablement, automation, ecommerce, figma, mcp, paid social, shopify, typography",https://jobs.ashbyhq.com/won.ai/b516bccb-080c-4dbf-81d3-6a0ff7a7cf62?utm_source=freehire.me
Software Engineer - Industrial Systems,MUAF,,Saudi Arabia,2026-09-13,Full-time,,"MUAF Military Uniforms & Accessories Factory is a prominent manufacturer based in Al-Kharj , specializing in the production of high-quality uniforms, military gear, and civilian apparel. Our commitment to quality, innovation, and customer satisfaction has made us a trusted partner to a range of sectors, including defense, law enforcement, and private enterprises. We pride ourselves on delivering durable, comfortable, and reliable solutions to our clients. Job Purpose Responsible for the development, maintenance, support, troubleshooting, and continuous improvement of software applications and industrial machine systems within the manufacturing environment. The role combines Software Engineering and Industrial Software Engineering , with responsibility for software applications, databases, system integration, Industrial PCs, machine-related software, HMI/SCADA systems, and IT/OT connectivity. The position works closely","api, automation, cybersecurity, git, hmi, networking, sap, scada, sql, version control",https://en-sa.whatjobs.com/pub_api__cpl__10739824__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me
Industrial Software Engineer — IT/OT & HMI/SCADA,MUAF,,Saudi Arabia,2026-09-13,Full-time,,"MUAF Military Uniforms & Accessories Factory in Saudi Arabia is seeking a Software Engineer/Industrial Software Engineer to develop, maintain, and optimize software and machine-facing systems within a manufacturing environment. The role combines software engineering and industrial software engineering, focusing on applications, databases, APIs, HMI/SCADA, IT/OT connectivity, and integration with production equipment. J-18808-Ljbffr","api, hmi, scada",https://en-sa.whatjobs.com/pub_api__cpl__10740163__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me
"Staff Full-Stack Software Engineer,, GPS",United States Digital Space LLC,Riyadh,Saudi Arabia,2026-09-13,Full-time,,"Scale's rapidly growing International Public Sector team is focused on using AI to address critical challenges facing the public sector around the world. Our core work consists of: Creating custom AI applications that will impact millions of citizens Generating high-quality training data for custom LLMs Upskilling and advisory services to spread the impact of AI As a Full Stack Software Engineer (Forward Deployed), you'll collaborate directly with public sector counterparts to quickly build full-stack, AI applications, to solve their most pressing challenges and achieve meaningful impact for citizens. At Scale, we're not just building AI solutions we're enabling the public sector to transform their operations and better serve citizens through cutting-edge technology. If you're ready to shape the future of AI in the public sector and be a founding member of our team, we'd love to","ai, aws, azure, cloud, distributed systems, full stack, gcp, kubernetes, llm, node.js, python, react",https://en-sa.whatjobs.com/pub_api__cpl__10740334__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me
Generalist Software Engineer,think,Riyadh,Saudi Arabia,2026-09-13,Full-time,,"Open roles Generalist Software Engineer For engineers who would rather own a problem than a layer. You will move between the serving path, the control plane, the tooling and the hardware interface, wherever the work is most useful that quarter. Team Software Location Riyadh Type Full time What you will do Take a problem from ambiguous to shipped, choosing the layer it should be solved at. Move across the stack: services, interfaces, data paths and the systems underneath. Build tooling that removes work for everyone else. Read unfamiliar code quickly and change it safely. Own what you ship, including when it pages someone. What you need Three years or more of production software engineering. Fluency in at least one systems language and one high-level language. Evidence of range: you have worked meaningfully at more than one","ai, distributed systems, linux",https://en-sa.whatjobs.com/pub_api__cpl__10740977__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me
Generalist Software Engineer — Own Impact Across the Stack,think,Riyadh,Saudi Arabia,2026-09-13,Full-time,,"think in Riyadh is seeking a Generalist Software Engineer who thrives on owning problems across the stack, from the serving path to the hardware interface. You will move between services, control plane, tooling and data paths, building practical solutions that ship and scale in an early-stage, hardware-aware environment. This role requires three years of production software experience, fluency in multiple languages, and comfort with ambiguity and shipping decisions. J-18808-Ljbffr",,https://en-sa.whatjobs.com/pub_api__cpl__10741059__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me
Senior Data Engineer: Shape Scalable Lakehouse Platform,SmartChoice International GCC,Riyadh,Saudi Arabia,2026-09-13,Full-time,,"SmartChoice International GCC in Riyadh seeks a Senior Data Engineer to build and scale its data platform, owning data ingestion, processing, storage, modelling and governance across multiple applications. You will design scalable pipelines, establish data architectures, ensure data quality and security, and work with engineering teams to optimise performance and costs as the platform evolves. J-18808-Ljbffr","data ingestion, data quality, governance",https://en-sa.whatjobs.com/pub_api__cpl__10739935__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me
"Databricks Data Engineer: Pipelines, Delta Lake & Dashboards",2P Perfect Presentation,Riyadh,Saudi Arabia,2026-09-13,Full-time,,"2P Perfect Presentation is seeking an experienced Databricks Developer to design and maintain scalable data pipelines on Databricks. You will develop end‑to‑end data solutions and contribute to React front‑end applications that showcase dashboards and data management interfaces. Ideal candidates have 4+ years of Databricks experience, strong PySpark/SQL skills, and a solid data‑engineering foundation. The role is based in Riyadh, Saudi Arabia, with opportunities to collaborate across enterprise J-18808-Ljbffr","data engineering, data pipelines, databricks, front end, pyspark, react, sql",https://en-sa.whatjobs.com/pub_api__cpl__10741069__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me
AI/ML Engineer - Industrial Analytics,Tata Consultancy Services,Riyadh,Saudi Arabia,2026-09-13,Full-time,,"Company TCS (MEA) Job type Full time About Us: Tata Consultancy Services (TCS) is an IT services, consulting and business solutions organization that has been partnering with many of the world’s largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions. This is delivered through its unique Location Independent Agile™ delivery model, recognized as a benchmark of excellence in software development. A part of the Tata group, India's largest multinational business group, TCS has over 616,171 of the world’s best-trained consultants with 157 nationalities in 53 countries. For more information, visit and follow TCS news at @TCS_News. Job Description: Desired Competencies (Technical / Behavioral): Must-Have: Designed, developed, and","agentic ai, agile, ai, analytics, aws, azure, cloud, deep learning, generative ai, llm, machine learning, mlops, neural networks, nlp, python, rag, time series, yolo",https://en-sa.whatjobs.com/pub_api__cpl__10740035__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me
On-Premise DevOps Engineer,Systems Arabia,Riyadh,Saudi Arabia,2026-09-13,Full-time,,"Ideal candidate for this role is a Senior DevOps / Platform Engineer with 6+ years of experience and strong hands-on expertise in managing on-premises, self-hosted infrastructure and CI/CD platforms. The candidate should have solid production experience with OpenShift, Jenkins/CloudBees, Prometheus, Grafana, ELK, and Linux, along with strong Python backend development and system-design skills. The role requires someone who can independently design, operate, troubleshoot, and optimize infrastructure while building reliable, scalable, and highly available platforms. Responsibilities: Design and implement CI/CD pipelines using Jenkins/CloudBees, incorporating artifact management and code-quality gates. Architect, administer, and maintain CI/CD tooling infrastructure, including Jenkins controllers and agents, artifact repositories, and code-quality servers. Manage Jenkins/CI-CD platform upgrades, plugins, configurations, backups, high","ansible, api, backend, bash, ci cd, ci/cd, devops, elk, gitops, grafana, groovy, helm, infrastructure as code, jenkins, linux, mysql, networking, openshift, postgresql, prometheus, python, rbac, rest, secrets management, tls",https://en-sa.whatjobs.com/pub_api__cpl__10739929__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me
Senior Backend Engineer: AI Apps on OpenShift,SoftwareOne,Riyadh,Saudi Arabia,2026-09-13,Full-time,,"SoftwareOne is seeking a Senior Full-Stack Engineer in Riyadh to build secure, scalable backend services and AI-enabled solutions for enterprise applications. You will work across real-time data integration, cloud-native architectures, and container platforms such as OpenShift and Kubernetes, while collaborating with AI and data teams. The role emphasizes secure coding, production readiness, and cross-functional collaboration within a hybrid work environment. J-18808-Ljbffr","ai, backend, cloud, cloud native, data integration, full stack, kubernetes, openshift, secure coding",https://en-sa.whatjobs.com/pub_api__cpl__10740071__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me
Senior IT Support Officer,navitas,,Saudi Arabia,2026-09-13,Full-time,,"The Senior IT Support Officer is responsible for providing advanced IT support, technical services and infrastructure management to campuses and/or business units across C&I. This role involves a broad scope of responsibilities, including building and managing Standard Operating Environments (SOE) for computing machines, systems administration, infrastructure improvements, and service delivery across regional and national campuses. The Senior IT Support Officer also provides technical leadership, supports technical training, mentors junior staff, and plays a key role in implementing IT projects and improvements, whilst ensuring compliance with policies and procedures. This position ensures high-quality IT service delivery and alignment with organisational requirements, supporting both staff and students across diverse educational environment. IT Support Services Provide timely and effective first and second-level support, addressing issues","automation, azure, bash, itil, jamf, macos, networking, powershell, sccm, slack",https://jobs.smartrecruiters.com/Navitas/6000000001400190-senior-it-support-officer?utm_source=freehire.me
Product Delivery Manager - Loyalty,Riyadh Air,Riyadh,Saudi Arabia,2026-09-13,Full-time,,"Riyadh Air (RX), headquartered in the Saudi Capital, is the new national airline that’s shaping the future of flying. It seeks to lead the aviation industry by transforming Saudi Arabia into a global aviation and trade hub a digitally native airline that will connect the kingdom to more than 100 destinations. About the Role Do you aspire to shape the future of customer loyalty, deliver transformational digital experiences, and create innovative solutions that redefine how guests engage with an airline? In this pivotal role, you will lead the end-to-end delivery of Riyadh Air's Loyalty technology portfolio, ensuring strategic initiatives are delivered on time, within budget, to the highest quality standards, and with measurable business value. As a recognised delivery leader, you will spearhead the implementation and enhancement of loyalty capabilities across the Offer & Order ecosystem, including rewards","agile, stakeholder management, vendor management",https://careers-riyadhair.icims.com/jobs/3252/product-delivery-manager---loyalty/job?utm_source=freehire.me
Frontend Software Engineer - Saudi Only,Lucidya,Al Khobar,Saudi Arabia,2026-09-13,Full-time,,"Lucidya is a leading AI-powered Customer Experience Management (CXM) platform in the MENA region, enabling enterprises to understand, engage, and serve their customers across digital channels at scale. As we continue to scale our platform and move toward IPO-scale engineering, we are looking for a Frontend Software Engineer who is passionate about building high-quality user experiences, learning quickly, and using modern engineering practices including AI to deliver better software faster. This role is ideal for an engineer with 0 2 years of professional experience who has a solid foundation in frontend development and wants to grow in an environment where ownership, speed, quality, collaboration, and continuous improvement matter. We don't measure impact by how many lines of code you write. We care about your ability to understand problems, build maintainable solutions, collaborate effectively, and","ai, api, css, event driven architecture, frontend, git, html, javascript, jest, playwright, rabbitmq, react, redux, rest, typescript, websockets",https://apply.workable.com/j/8120FF802B?utm_source=freehire.me
QA Engineer,NHC Innovation,,Saudi Arabia,2026-09-13,Full-time,,"Role Summary The job track is responsible for executing structured QA, QC, and UAT activities, implementing test plans and environments, and supporting defect resolution to ensure reliable, compliant, user-validated product releases Functional Accountabilities Collect delivery milestones, scope definitions, and resource inputs to support in preparing detailed QA, QC, and UAT plans with clear responsibilities Collect functional, non-functional, integration, regression, and performance requirements to structure comprehensive QA and QC test scenarios, acceptance criteria, and representative datasets Assist in designing UAT cycles by selecting representative user groups, defining end-to-end scenarios, and setting measurable success metrics and QC evaluation criteria Implement test environment setup by configuring tools, datasets, and access controls to secure reliability across QA, QC, and UAT cycles Execute functional,","acceptance criteria, iso 9001, qa",https://eghj.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_6001/job/321?utm_source=freehire.me
